iter	Passed	Remaining
1388	267933	696549
1389	268131	696370
1390	268304	696126
1391	268487	695906
1392	268730	695843
1393	268922	695650
1394	269087	695383
1395	269282	695196
1396	269448	694933
1397	269631	694715
1398	269900	694719
1399	270070	694468
1400	270204	694122
1401	270398	693932
1402	270588	693731
1403	270801	693590
1404	271067	693584
1405	271272	693422
1406	271506	693334
1407	271690	693119
1408	271865	692880
1409	272070	692718
1410	272205	692378
1411	272364	692099
1412	272558	691908
1413	272835	691928
1414	273012	691696
1415	273249	691615
1416	273452	691447
1417	273644	691251
1418	273865	691130
1419	274071	690970
1420	274348	690987
1421	274577	690884
1422	274795	690753
1423	275014	690626
1424	275187	690382
1425	275409	690260
1426	275575	689999
1427	275751	689763
1428	275927	689528
1429	276106	689301
1430	276282	689064
1431	276502	688940
1432	276665	688671
1433	276820	688382
1434	276999	688155
1435	277164	687893
1436	277327	687626
1437	277477	687325
1438	277676	687147
1439	277864	686941
1440	278047	686724
1441	278257	686573
1442	278435	686343
1443	278676	686268
1444	278850	686030
1445	279040	685828
1446	279234	685639
1447	279442	685484
1448	279844	685801
1449	280097	685756
1450	280271	685516
1451	280478	685356
1452	280675	685172
1453	280850	684935
1454	281069	684805
1455	281286	684670
1456	281452	684411
1457	281646	684218
1458	281830	684004
1459	282044	683860
1460	282239	683671
1461	282421	683451
1462	282650	683346
1463	282819	683093
1464	283019	682916
1465	283217	682734
1466	283384	682479
1467	283556	682234
1468	283754	682053
1469	283950	681868
1470	284163	681720
1471	284379	681583
1472	284566	681374
1473	284765	681196
1474	284982	681060
1475	285145	680795
1476	285277	680455
1477	285526	680395
1478	285699	680153
1479	285898	679975
1480	286089	679776
1481	286259	679528
1482	286481	679403
1483	286736	679355
1484	286943	679195
1485	287164	679068
1486	287367	678897
1487	287588	678771
1488	287771	678553
1489	287970	678373
1490	288186	678232
1491	288365	678005
1492	288563	677824
1493	288883	677928
1494	289075	677731
1495	289254	677505
1496	289409	677223
1497	289583	676983
1498	289771	676777
1499	290024	676723
1500	290217	676530
1501	290398	676307
1502	290567	676056
1503	290775	675897
1504	291008	675797
1505	291177	675546
1506	291407	675438
1507	291683	675437
1508	291897	675291
1509	292172	675286
1510	292365	675091
1511	292526	674824
1512	292745	674688
1513	292997	674629
1514	293252	674577
1515	293454	674403
1516	293678	674280
1517	293874	674092
1518	294045	673846
1519	294213	673595
1520	294428	673449
1521	294593	673190
1522	294740	672891
1523	294908	672638
1524	295058	672347
1525	295213	672064
1526	295425	671912
1527	295594	671665
1528	295797	671493
1529	295994	671307
1530	296172	671079
1531	296335	670816
1532	296603	670791
1533	296758	670512
1534	296912	670230
1535	297177	670196
1536	297442	670165
1537	297766	670264
1538	297966	670086
1539	298155	669881
1540	298376	669749
1541	298575	669568
1542	298838	669530
1543	299053	669384
1544	299281	669266
1545	299462	669045
1546	299648	668834
1547	299922	668818
1548	300214	668843
1549	300455	668754
1550	300712	668703
1551	301016	668753
1552	301210	668559
1553	301423	668407
1554	301583	668138
1555	301849	668103
1556	302005	667826
1557	302263	667774
1558	302481	667632
1559	302699	667491
1560	302899	667309
1561	303068	667060
1562	303310	666972
1563	303494	666755
1564	303809	666827
1565	303996	666617
1566	304157	666351
1567	304423	666313
1568	304569	666014
1569	304805	665913
1570	305073	665880
1571	305247	665641
1572	305409	665377
1573	305666	665319
1574	305831	665062
1575	306081	664990
1576	306258	664756
1577	306398	664446
1578	306692	664467
1579	306894	664290
1580	307069	664053
1581	307222	663772
1582	307405	663552
1583	307610	663381
1584	307911	663418
1585	308072	663152
1586	308245	662912
1587	308423	662682
1588	308607	662466
1589	308794	662256
1590	309040	662173
1591	309202	661911
1592	309363	661646
1593	309531	661395
1594	309731	661212
1595	309952	661075
1596	310179	660952
1597	310386	660786
1598	310587	660605
1599	310798	660447
1600	311011	660292
1601	311311	660323
1602	311551	660225
1603	311743	660024
1604	311904	659760
1605	312130	659633
1606	312422	659645
1607	312610	659436
1608	312864	659367
1609	313049	659152
1610	313198	658863
1611	313380	658643
1612	313757	658833
1613	314036	658814
1614	314207	658571
1615	314375	658320
1616	314591	658171
1617	314760	657923
1618	314943	657705
1619	315127	657487
1620	315299	657246
1621	315477	657017
1622	315713	656909
1623	315878	656654
1624	316077	656469
1625	316251	656231
1626	316419	655982
1627	316632	655826
1628	316879	655740
1629	317065	655527
1630	317236	655285
1631	317413	655054
1632	317653	654953
1633	317959	654988
1634	318144	654774
1635	318308	654517
1636	318500	654316
1637	318678	654088
1638	318850	653847
1639	319066	653697
1640	319227	653434
1641	319404	653202
1642	319602	653016
1643	319798	652824
1644	319986	652617
1645	320279	652623
1646	320486	652454
1647	320701	652301
1648	320864	652042
1649	321022	651772
1650	321212	651569
1651	321439	651439
1652	321574	651125
1653	321764	650922
1654	321941	650691
1655	322126	650477
1656	322302	650246
